"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"134","","","","","","","","","","","","","3031","3031","3031","5.4044060707092285","5.4044060707092285","5.4044060707092285"
"135","","","","","","","","","","","","","3053","3053","3053","5.403432846069336","5.403432846069336","5.403432846069336"
"136","","","","","","","","","","","","","3076","3076","3076","5.401484489440918","5.401484489440918","5.401484489440918"
"137","","","","","","","","","","","","","3098","3098","3098","5.399804592132568","5.399804592132568","5.399804592132568"
"138","","","","","","","","","","","","","3120","3120","3120","5.399152755737305","5.399152755737305","5.399152755737305"
"139","","","","","","","","","","","","","3143","3143","3143","5.398382186889648","5.398382186889648","5.398382186889648"
"140","","","","","","","","","","","","","3165","3165","3165","5.397882461547852","5.397882461547852","5.397882461547852"
"141","","","","","","","","","","","","","3188","3188","3188","5.397369861602783","5.397369861602783","5.397369861602783"
"142","","","","","","","","","","","","","3210","3210","3210","5.3967976570129395","5.3967976570129395","5.3967976570129395"
"143","","","","","","","","","","","","","3233","3233","3233","5.396016597747803","5.396016597747803","5.396016597747803"
"144","","","","","","","","","","","","","3255","3255","3255","5.395340919494629","5.395340919494629","5.395340919494629"
"145","","","","","","","","","","","","","3278","3278","3278","5.394684791564941","5.394684791564941","5.394684791564941"
"146","","","","","","","","","","","","","3300","3300","3300","5.394075870513916","5.394075870513916","5.394075870513916"
"147","","","","","","","","","","","","","3323","3323","3323","5.393484592437744","5.393484592437744","5.393484592437744"
"148","","","","","","","","","","","","","3345","3345","3345","5.392929553985596","5.392929553985596","5.392929553985596"
"149","","","","","","","","","","","","","3368","3368","3368","5.392457485198975","5.392457485198975","5.392457485198975"
"150","","","","","","","","","","","","","3390","3390","3390","5.391922950744629","5.391922950744629","5.391922950744629"
"151","","","","","","","","","","","","","3412","3412","3412","5.391427993774414","5.391427993774414","5.391427993774414"
"152","","","","","","","","","","","","","3435","3435","3435","5.390744209289551","5.390744209289551","5.390744209289551"
"153","","","","","","","","","","","","","3457","3457","3457","5.390172481536865","5.390172481536865","5.390172481536865"
"154","","","","","","","","","","","","","3480","3480","3480","5.389662265777588","5.389662265777588","5.389662265777588"
"155","","","","","","","","","","","","","3502","3502","3502","5.38915491104126","5.38915491104126","5.38915491104126"
"156","","","","","","","","","","","","","3525","3525","3525","5.388437271118164","5.388437271118164","5.388437271118164"
"157","","","","","","","","","","","","","3547","3547","3547","5.387982368469238","5.387982368469238","5.387982368469238"
"158","","","","","","","","","","","","","3570","3570","3570","5.387375354766846","5.387375354766846","5.387375354766846"
"159","","","","","","","","","","","","","3592","3592","3592","5.386622428894043","5.386622428894043","5.386622428894043"
"160","","","","","","","","","","","","","3615","3615","3615","5.385931015014648","5.385931015014648","5.385931015014648"
"161","","","","","","","","","","","","","3637","3637","3637","5.385335922241211","5.385335922241211","5.385335922241211"
"162","","","","","","","","","","","","","3659","3659","3659","5.384579658508301","5.384579658508301","5.384579658508301"
"163","","","","","","","","","","","","","3682","3682","3682","5.383668422698975","5.383668422698975","5.383668422698975"
"164","","","","","","","","","","","","","3704","3704","3704","5.38306188583374","5.38306188583374","5.38306188583374"
"165","","","","","","","","","","","","","3727","3727","3727","5.3824310302734375","5.3824310302734375","5.3824310302734375"
"166","","","","","","","","","","","","","3749","3749","3749","5.381804466247559","5.381804466247559","5.381804466247559"
"167","","","","","","","","","","","","","3772","3772","3772","5.3811469078063965","5.3811469078063965","5.3811469078063965"
"168","","","","","","","","","","","","","3794","3794","3794","5.380481719970703","5.380481719970703","5.380481719970703"
"169","","","","","","","","","","","","","3817","3817","3817","5.379656791687012","5.379656791687012","5.379656791687012"
"170","","","","","","","","","","","","","3839","3839","3839","5.378930568695068","5.378930568695068","5.378930568695068"
"171","","","","","","","","","","","","","3862","3862","3862","5.378425598144531","5.378425598144531","5.378425598144531"
"172","","","","","","","","","","","","","3884","3884","3884","5.377751350402832","5.377751350402832","5.377751350402832"
"173","","","","","","","","","","","","","3907","3907","3907","5.37713098526001","5.37713098526001","5.37713098526001"
"174","","","","","","","","","","","","","3929","3929","3929","5.376605987548828","5.376605987548828","5.376605987548828"
"175","","","","","","","","","","","","","3951","3951","3951","5.3760762214660645","5.3760762214660645","5.3760762214660645"
"176","","","","","","","","","","","","","3974","3974","3974","5.375607490539551","5.375607490539551","5.375607490539551"
"177","","","","","","","","","","","","","3996","3996","3996","5.374745845794678","5.374745845794678","5.374745845794678"
"178","","","","","","","","","","","","","4019","4019","4019","5.373697280883789","5.373697280883789","5.373697280883789"
"179","","","","","","","","","","","","","4041","4041","4041","5.37286901473999","5.37286901473999","5.37286901473999"
"180","","","","","","","","","","","","","4064","4064","4064","5.372130393981934","5.372130393981934","5.372130393981934"
"181","","","","","","","","","","","","","4086","4086","4086","5.371607303619385","5.371607303619385","5.371607303619385"
"182","","","","","","","","","","","","","4109","4109","4109","5.371126651763916","5.371126651763916","5.371126651763916"
"183","","","","","","","","","","","","","4131","4131","4131","5.370633125305176","5.370633125305176","5.370633125305176"
"184","","","","","","","","","","","","","4154","4154","4154","5.370193958282471","5.370193958282471","5.370193958282471"
"185","","","","","","","","","","","","","4176","4176","4176","5.369726181030273","5.369726181030273","5.369726181030273"
"186","","","","","","","","","","","","","4199","4199","4199","5.368934631347656","5.368934631347656","5.368934631347656"
"187","","","","","","","","","","","","","4221","4221","4221","5.367847919464111","5.367847919464111","5.367847919464111"
"188","","","","","","","","","","","","","4243","4243","4243","5.367169380187988","5.367169380187988","5.367169380187988"
"189","","","","","","","","","","","","","4266","4266","4266","5.366396903991699","5.366396903991699","5.366396903991699"
"190","","","","","","","","","","","","","4288","4288","4288","5.365774631500244","5.365774631500244","5.365774631500244"
"191","","","","","","","","","","","","","4311","4311","4311","5.365170955657959","5.365170955657959","5.365170955657959"
"192","","","","","","","","","","","","","4333","4333","4333","5.364623069763184","5.364623069763184","5.364623069763184"
"193","","","","","","","","","","","","","4356","4356","4356","5.364229679107666","5.364229679107666","5.364229679107666"
"194","","","","","","","","","","","","","4378","4378","4378","5.363828659057617","5.363828659057617","5.363828659057617"
"195","","","","","","","","","","","","","4401","4401","4401","5.363387584686279","5.363387584686279","5.363387584686279"
"196","","","","","","","","","","","","","4423","4423","4423","5.3629469871521","5.3629469871521","5.3629469871521"
"197","","","","","","","","","","","","","4446","4446","4446","5.362393379211426","5.362393379211426","5.362393379211426"
"198","","","","","","","","","","","","","4468","4468","4468","5.361983299255371","5.361983299255371","5.361983299255371"
"199","","","","","","","","","","","","","4491","4491","4491","5.361447811126709","5.361447811126709","5.361447811126709"
"200","","","","","","","","","","","","","4513","4513","4513","5.360959529876709","5.360959529876709","5.360959529876709"
"201","","","","","","","","","","","","","4535","4535","4535","5.360605716705322","5.360605716705322","5.360605716705322"
"202","","","","","","","","","","","","","4558","4558","4558","5.360121726989746","5.360121726989746","5.360121726989746"
